Dist, Size, MSTime, MSComp, HSTime, HSComp, QSTime, QSComp, QSRec, ISTime, ISComp, ISRec
Ordered,1000,0,9488,0,8813,0,11349,1345,0,6942,127
Random,1000,0,9488,0,8421,0,11120,1336,1,10748,191
Quarter_sorted,1000,0,9488,0,8515,0,10983,1340,1,10362,179
Poisson,1000,0,9488,0,8418,0,14096,1805,0,9567,277
Ordered,10000,1,129520,2,122288,1,152828,13345,1,108986,2047
Random,10000,2,129520,2,117662,2,154963,13346,1,150969,1871
Quarter_sorted,10000,2,129520,2,118859,2,153987,13341,1,146359,1917
Poisson,10000,1,129520,2,117742,3,306231,19228,3,219077,6587
Ordered,50000,6,767232,11,727741,7,941718,66745,4,645916,8191
Random,50000,10,767232,13,705009,9,934443,66710,7,872792,9547
Quarter_sorted,50000,9,767232,13,702584,8,949803,66679,7,879538,9565
Poisson,50000,9,767232,12,704884,27,2828622,98093,14,1451365,23583
Ordered,500000,60,9237856,131,8920674,89,11939192,666579,48,7967247,65535
Random,500000,103,9237856,160,8698013,111,11691459,666777,91,10711145,95281
Quarter_sorted,500000,93,9237856,156,8714663,109,11887688,666802,91,10991882,95737
Poisson,500000,91,9237856,154,8698873,710,77850176,993246,165,18391365,115897
Ordered,1000000,124,19475712,275,18865722,177,24793487,1332992,99,16934480,131071
Random,1000000,214,19475712,346,18396851,231,24712359,1333410,191,22720485,190521
Quarter_sorted,1000000,194,19475712,331,18339276,225,24789998,1333388,185,22721027,191649
Poisson,1000000,193,19475712,326,18396808,1948,214462872,1990162,353,39146813,179669
